Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Attribute9	Attribute10	Attribute11	Attribute12	Class
M	59	Village	0.25867484653338013	23.717515378071596	18.036527615309986	no	Yes	NA	Yes	4	1	+
f	24	Village	0.02541157969767527	29.175782831925343	26.84084836943324	No	No	NA	Yes	4	1	-
F	41	Сity	0.6398160914477892	79.96845240388143	24.138463955747678	Secondary	Yes	NA	Yes	2	1	-
M	46	Village	0.3229076915911898	36.717792004583224	19.85167059467549	Higher	Yes	NA	Yes	1	1	+
F	41	Village	0.9113362660320616	75.4560252347112	14.483105796850268	Secondary	No	NA	Yes	2	1	+
f	36	village	0.9629792139482596	12.645562014377338	1.3638403930795349	Secondary	Yes	1	Yes	0	1	-
F	42	Village	0.4706153783687308	65.794282481375	1.0201670484714285	Secondary	No	NA	Yes	4	1	+-
M	57	metropolis	0.31569724327148185	74.02620923604223	31.376194783229757	Higher	No	NA	Yes	2	1	+-
F	25	Village	0.7646150485598953	86.81016519215711	32.64724807628257	No	Yes	NA	Yes	0	1	-
M	62	Сity	0.7267723333369898	40.75877960283927	12.718286854475668	Secondary	Yes	NA	Yes	4	1	+
M	62	Сity	0.9875319513941818	62.40199272341786	13.447613378315879	no	No	1	Yes	2	1	-
M	34	Сity	0.630692582370175	45.117460255810144	25.118991992952107	Higher	No	NA	Yes	4	1	-
M	NA	NA	0.52310588042227	NA	NA	NA	No	NA	Yes	5	1	-
F	41	Сity	0.6398160914477892	79.96845240388143	24.138463955747678	Secondary	Yes	NA	Yes	2	1	-
M	61	Сity	0.11420833075707915	51.263263648177215	32.99859125323597	No	No	NA	Yes	3	1	-
F	43	Village	0.8327294146080655	86.77599440204457	-1.3223399216190472	secondary	No	NA	Yes	3	1	+
M	33	Сity	0.365257301574064	89.5633082402532	43.07963172087071	Secondary	No	NA	Yes	1	0	+-
F	63	Сity	0.5259240699985833	13.992016945599637	11.928890939584738	Secondary	No	NA	Yes	5	1	-
F	35	Сity	0.881865875928826	57.14498637604887	11.59327389513393	Higher	Yes	NA	Yes	1	1	+
F	57	Сity	0.9679450430003361	56.65474200169488	24.438948008877425	higher	No	NA	Yes	2	1	+-
F	63	Village	0.27438162699816304	40.68458154024	27.5238228250608	No	No	NA	Yes	1	1	+
M	32	Сity	0.7016933340322344	77.6612582493766	13.240285127017385	Secondary	Yes	NA	Yes	2	1	+
F	39	Metropolis	0.5709213026563116	50.31574998910253	17.00601798557728	Higher	No	NA	Yes	1	1	+
F	30	Metropolis	0.6820275748637178	62.284011122265554	31.166606293058287	Secondary	No	NA	Yes	4	1	+-
M	67	Сity	0.19703701502533888	97.16331707713728	14.113380043616765	Secondary	No	NA	Yes	3	1	+
F	51	Сity	0.9526695631709046	47.56755762076253	18.474287937620005	Secondary	Yes	NA	Yes	0	1	+-
M	67	Village	0.8030696716088486	48.11935783013772	23.110788660414244	Secondary	Yes	NA	Yes	0	1	-
F	48	Сity	0.35894281836154573	18.441005494703127	8.954723057041283	Higher	Yes	NA	Yes	3	1	+
F	43	Сity	0.314630164724368	91.40269724745698	11.113789720620236	Secondary	Yes	NA	Yes	4	1	+
M	38	Village	0.15402340312879026	63.703831147733766	23.492919677569716	Secondary	No	NA	Yes	4	1	+
M	46	Village	0.540357393984392	63.336044506290854	10.403230754668817	No	Yes	NA	Yes	4	1	+-
F	41	Metropolis	0.3420339766127004	86.60672202158496	24.100094460236186	Higher	Yes	NA	Yes	5	1	+-
M	70	Metropolis	NA	50.79588373334269	11.7550738490152	Secondary	Yes	NA	Yes	4	1	-
M	50	Village	0.11833541724349039	24.479573914810246	3.997718206084752	Higher	No	NA	Yes	4	1	+
M	23	Village	0.8069009700034337	21.441769265944956	31.10555022945148	No	Yes	NA	Yes	2	1	+
M	29	Сity	0.8577252359506594	29.72014071323427	48.298117085032416	No	Yes	NA	Yes	2	1	+-
F	25	Metropolis	0.09651137948871469	76.7358150704401	34.41685113329674	Higher	No	NA	Yes	0	1	+
M	55	Village	0.6467927020897596	30.3803829694048	23.33589770638452	No	No	NA	Yes	2	1	+-
M	66	Сity	0.6585360578516	56.941791886343125	11.329029463402113	Higher	Yes	NA	Yes	2	1	-
M	64	Metropolis	0.5465524474701547	84.53308789209783	11.683519987132538	No	No	NA	Yes	4	1	-
F	66	Metropolis	0.6074302056541797	54.47232256983701	33.613379644265095	Secondary	No	NA	Yes	5	1	+
F	45	Village	0.6181964224655337	50.908895902054184	14.037529344825481	No	Yes	NA	Yes	0	1	+
f	30	Metropolis	0.9470787970282433	59.94677809245239	29.71782059562591	No	No	NA	Yes	0	1	-
F	43	Village	0.5133972066075213	28.925335613584153	43.12335467858401	Higher	Yes	NA	Yes	1	1	-
F	56	Metropolis	0.1125443086053477	60.17114263164027	21.946238674058474	No	Yes	NA	Yes	3	1	+-
F	36	Сity	0.5224911454193559	23.747053253968577	18.09151509730374	Secondary	Yes	NA	Yes	0	1	+
F	32	Village	0.9173409173407976	86.6686999484723	19.66650905233003	Higher	No	NA	Yes	0	1	-
M	33	Village	0.9505958877878863	51.737137703292504	21.981252833437956	Higher	No	NA	Yes	0	1	-
M	27	Metropolis	0.9749671239654835	97.61515406131076	39.56569517583542	Higher	Yes	NA	Yes	5	1	+-
F	30	Metropolis	0.33650392213607905	60.358761572639324	22.138732064775795	Secondary	No	NA	Yes	1	1	+
F	28	Metropolis	0.3726609410781977	96.98240534424059	22.325042430987356	Secondary	No	NA	Yes	4	1	-
m	37	Village	0.41693807222502866	23.644776098167128	33.35808306535326	No	No	NA	Yes	5	1	+
F	50	NA	0.5503975539990552	45.61211720883881	31.665057414762256	Secondary	Yes	NA	Yes	1	1	-
M	25	Village	0.9766257723205586	18.05873182313897	19.415373445946848	No	Yes	NA	Yes	3	1	-
M	38	Village	0.34215860616717386	12.81513181720139	15.08830870169271	Secondary	Yes	NA	Yes	2	1	-
M	41	Metropolis	0.07968357757680866	70.29191813252432	28.668779081940606	Secondary	Yes	1	Yes	1	1	-
M	22	Сity	0.4712081087048906	80.8614188901383	19.1042932428624	Secondary	Yes	NA	Yes	5	1	+
F	27	Сity	0.40229089918016236	13.264253640840991	-0.369656154252457	No	Yes	NA	Yes	0	1	-
F	46	Сity	0.5754292317516632	46.80789443951337	11.075766402150114	No	Yes	NA	Yes	3	1	-
F	63	Сity	0.6324321945481155	84.48769014727857	22.32638802932906	no	Yes	NA	Yes	0	1	+-
F	26	metropolis	0.4957236453632431	41.77980426239574	17.06293463288363	No	Yes	NA	Yes	3	1	-
F	45	Village	0.4365206302312282	30.897922623317505	-0.987268232257076	Higher	Yes	NA	Yes	2	1	+
F	57	NA	0.43464542277991813	28.815585138450203	19.347328029151285	Higher	No	NA	Yes	2	1	-
M	63	Сity	0.5575687741554157	89.07983716300454	27.005963726515038	Higher	No	NA	Yes	4	1	-
M	52	Metropolis	0.8678854101612008	58.49236906015579	27.424060031198515	Secondary	No	NA	Yes	2	1	+
M	50	Metropolis	0.18899946943606194	35.03199007914431	12.037662475283803	No	No	NA	Yes	1	1	+
F	65	Village	0.7391797981119049	49.674375394566745	19.381620006742693	Higher	No	NA	Yes	1	1	+
f	54	Village	0.41389943285864395	18.60197961022585	2.1392874866158778	Higher	No	NA	Yes	1	1	-
F	34	Сity	0.6074671599374711	25.79567039160446	29.47448406977982	Higher	Yes	NA	Yes	5	1	+
F	35	Metropolis	0.13133337207925566	99.27456054208912	17.75330552463782	Higher	No	NA	Yes	5	1	-
M	52	Metropolis	0.8678854101612008	58.49236906015579	27.424060031198515	Secondary	No	NA	Yes	2	1	+
F	57	Сity	0.4793039870416449	35.74689863671718	22.689724668661768	Secondary	Yes	NA	Yes	5	1	+
F	48	Village	0.2392640050474094	19.43954541910123	1.9532341404337608	Higher	Yes	NA	Yes	5	1	+-
F	24	Village	0.5266663473508504	38.609967603039756	29.464483207842243	Secondary	No	NA	Yes	5	1	+-
M	42	Village	0.5706102379219857	80.18894100075748	31.901026788650203	Higher	No	NA	Yes	3	1	+-
f	20	Metropolis	0.5535718698165558	29.76197064699357	34.18954331331278	Higher	Yes	NA	Yes	3	1	+-
M	28	Сity	0.34485121896129267	61.37965478727932	16.968139390081788	Higher	No	NA	Yes	5	1	+-
M	42	Metropolis	0.008768916686316963	33.059257950244344	41.397661566574726	No	Yes	NA	Yes	0	1	-
M	39	Village	0.2338773013177584	59.39266782501527	15.54977857974022	Secondary	No	NA	Yes	3	1	+-
M	21	Сity	0.39688621440352667	85.85840231762191	1.4309377346704153	Secondary	Yes	NA	Yes	4	1	+
M	37	NA	0.3601507449342982	NA	23.074241443347688	Higher	No	NA	Yes	0	1	-
F	54	Village	0.9206840849598565	15.936300150320397	23.085720803027943	No	Yes	NA	Yes	4	1	-
F	26	Metropolis	0.8670307531039422	75.36947090054473	21.540356624583495	Higher	No	NA	Yes	4	0	+-
M	53	Сity	0.15438892794071946	39.783895033340386	35.56504076097907	Higher	No	NA	Yes	4	1	-
M	24	Metropolis	0.6239408904328183	81.67739979409916	33.19616786579199	Higher	No	NA	Yes	4	1	+
